fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
691;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003001B;"001B";387305.642186168;"1002";PESAWAHAN;"-";"9";"9";;;;;;;;;1
692;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003050B;"050B";112304.251423915;"0026";RT 005 RW 001 DUSUN SUKAKARYA;"-";"1, 1, 1";"1";;;;;;;;;1
693;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003020B;"020B";14011.4135745203;"0041";RT 006 RW 012 DUSUN BINTANG ALAM;"-";"1, 1, 1";"1";;;;;;;;;1
694;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003049B;"049B";44332.4368014054;"0047";RT 048 RW 012 DUSUN BINTANG ALAM;"-";"1, 1, 1";"1";;;;;;;;;1
695;"32";"15";"031";"003";TELUKJAMBE;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031003";"3215031";"0  ";sp2020;3215031003017B;"017B";41866.0496646403;"0046";RT 037 RW 012 DUSUN BINTANG ALAM;"-";"1, 1, 1, 1, 1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
696;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004028B;"028B";13058.0318957418;"0020";RT 022 RW 006 DUSUN KAUM JAYA;Bangunan Ruko;"7";"7";;;;;;;;;1
697;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004027B;"027B";7392.62751269717;"0017";RT 018 RW 006 DUSUN KAUM JAYA;"-";"7, 7";"7";;;;;;;;;1
698;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004029B;"029B";4651.20973693146;"4001";APARTEMEN EMERALD HILL;APARTEMEN EMERALD HILL;"4, 4, 4, 4";"4";;;;;;;;;1
699;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004030B;"030B";18911.8610190636;"0021";RT 023 RW 006 DUSUN KAUM JAYA;"-";"2, 2, 2";"2";;;;;;;;;1
700;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004032B;"032B";18120.2942103222;"0022";RT 024 RW 006 DUSUN KAUM JAYA;"-";"2";"2";;;;;;;;;1
701;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004034B;"034B";42079.9541947243;"0022";RT 024 RW 006 DUSUN KAUM JAYA;"-";"2, 2";"2";;;;;;;;;1
702;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004013B;"013B";25967.0908650223;"0001";RT 001 RW 001 DUSUN BABAKAN;"-";"1";"1";;;;;;;;;1
703;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004019B;"019B";14384.9474069947;"0004";RT 004 RW 001 DUSUN BABAKAN;"-";"1";"1";;;;;;;;;1
704;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004031B;"031B";26194.3846536167;"0020";RT 022 RW 006 DUSUN KAUM JAYA;"-";"2, 2";"2";;;;;;;;;1
705;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004011B;"011B";21000.337617397;"0001";RT 001 RW 001 DUSUN BABAKAN;"-";"1, 1";"1";;;;;;;;;1
706;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004002B;"002B";580007.216125748;"0008";RT 017 RW 008 DUSUN BABAKAN TENGAH;"-";"1, 10";"1";;;;;;;;;1
707;"32";"15";"031";"001";SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031001";"3215031";"0  ";sp2020;3215031001011B;"011B";54787.7868926445;"0002";RT 02 RW 01 DUSUN 01;"-";"2, 5";"2";;;;;;;;;1
708;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004005B;"005B";93026.8957867911;"0023";RT 007 RW 003 DUSUN KALIJAYA;"-";"1, 1";"1";;;;;;;;;1
709;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004007B;"007B";79794.2760030918;"0024";RT 008 RW 003 DUSUN KALIJAYA;"-";"1";"1";;;;;;;;;1
710;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004014B;"014B";18169.7628069103;"0006";RT 020 RW 002 DUSUN BABAKAN TENGAH;"-";"1, 1, 1, 1, 1, 1, 1, 1, 1, 1";"1";;;;;;;;;1
711;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004009B;"009B";118715.279718597;"0002";RT 002 RW 001 DUSUN BABAKAN;"-";"1, 5, 1";"1";;;;;;;;;1
712;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004010B;"010B";19497.7031470971;"0002";RT 002 RW 001 DUSUN BABAKAN;"-";"5";"5";;;;;;;;;1
713;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004012B;"012B";18375.0779273685;"0001";RT 001 RW 001 DUSUN BABAKAN;"-";"1";"1";;;;;;;;;1
714;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004015B;"015B";70073.0833097753;"0005";RT 005 RW 002 DUSUN BABAKAN TENGAH;"-";"1, 1";"1";;;;;;;;;1
715;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004018B;"018B";25873.8902644675;"0004";RT 004 RW 001 DUSUN BABAKAN;"-";"1";"1";;;;;;;;;2
716;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004020B;"020B";77850.7880487343;"0004";RT 004 RW 001 DUSUN BABAKAN;"-";"1, 1";"1";;;;;;;;;1
717;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004021B;"021B";28355.8017060643;"0003";RT 003 RW 001 DUSUN BABAKAN;"-";"1, 1, 1";"1";;;;;;;;;1
718;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004022B;"022B";120784.005539538;"0003";RT 003 RW 001 DUSUN BABAKAN;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
719;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004025B;"025B";13707.5363288322;"0019";RT 021 RW 006 DUSUN KAUM JAYA;"-";"2, 2, 2, 2, 2, 2";"2";;;;;;;;;1
720;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004024B;"024B";20964.3717712711;"0018";RT 019 RW 006 DUSUN KAUM JAYA;"-";"2, 2, 2, 2, 2";"2";;;;;;;;;1
721;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004026B;"026B";8739.97912100516;"0017";RT 018 RW 006 DUSUN KAUM JAYA;"-";"2, 2, 2, 2";"2";;;;;;;;;1
722;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004037B;"037B";27559.6932604846;"0015  ,  0016";"RT 013 RW 005 DUSUN KAUM JAYA  ,  RT 014 RW 005 DUSUN KAUM JAYA";"-";"1, 1, 1, 1,1, 1, 1, 1";"1";;;;;;;;;1
723;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004036B;"036B";35998.1091425204;"0022";RT 024 RW 006 DUSUN KAUM JAYA;"-";"2, 2";"2";;;;;;;;;1
724;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004039B;"039B";56286.9923092924;"0010";RT 010 RW 004 DUSUN KAUM JAYA;"-";"1, 1, 1, 1";"1";;;;;;;;;1
725;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004041B;"041B";52524.5152060811;"0012";RT 016 RW 004 DUSUN KAUM JAYA;"-";"1, 1, 1";"1";;;;;;;;;1
726;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004042B;"042B";38213.2709896357;"0009";RT 009 RW 004 DUSUN KAUM JAYA;"-";"1, 1";"1";;;;;;;;;1
727;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004043B;"043B";26885.8329152752;"0009";RT 009 RW 004 DUSUN KAUM JAYA;"-";"1";"1";;;;;;;;;1
728;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004044B;"044B";54369.2738725257;"0011";RT 015 RW 004 DUSUN KAUM JAYA;"-";"1, 1";"1";;;;;;;;;1
729;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004023B;"023B";11129.6310752213;"0018";RT 019 RW 006 DUSUN KAUM JAYA;"-";"7, 7";"7";;;;;;;;;1
730;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004035B;"035B";12772.3891263915;"0021";RT 023 RW 006 DUSUN KAUM JAYA;"-";"2, 2";"2";;;;;;;;;1
731;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004045B;"045B";82022.5250264253;"0011";RT 015 RW 004 DUSUN KAUM JAYA;"-";"1, 1, 1";"1";;;;;;;;;1
732;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004033B;"033B";93772.9414443187;"0004";RT 004 RW 001 DUSUN BABAKAN;"-";"1, 1";"1";;;;;;;;;3
734;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005084B;"084B";9938.81932256185;"0037";RT 002 RW 008 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"1, 1, 1";"1";;;;;;;;;1
735;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005083B;"083B";7353.91627108213;"0038";RT 003 RW 008 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"5, 5";"5";;;;;;;;;1
736;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005085B;"085B";16282.7424606213;"0036";RT 001 RW 008 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"1, 1, 1, 1";"1";;;;;;;;;1
737;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005086B;"086B";13108.3142037047;"0039";RT 004 RW 008 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
738;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005089B;"089B";11013.7320647538;"0040";RT 005 RW 008 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"1, 1";"1";;;;;;;;;1
739;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005088B;"088B";15754.6010246566;"0025  ,  0022";"RT 006 RW 006 DUSUN BUMI TELUKJAMBE DUSUN 4  ,  RT 003 RW 006 DUSUN BUMI TELUKJAMBE DUSUN 4";"-";"1, 1, 1,1, 1, 1";"1";;;;;;;;;1
740;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005021B;"021B";20925.1009761567;"0064  ,  0065";"RT 001 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 002 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1, 1, 1";"1";;;;;;;;;1
741;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005022B;"022B";15717.1647342393;"0019  ,  0013";"RT 007 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 001 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1";"1";;;;;;;;;1
742;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005003B;"003B";696486.458115777;"5005";SEDANA GOLF;"-";"10, 10";"10";;;;;;;;;1
743;"32";"15";"031";"007";WADAS;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031007";"3215031";"0  ";sp2020;3215031007001B;"001B";944000.893116183;"5001";KAWASAN INDUSTRI;"-";"9";"9";;;;;;;;;1
744;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005005B;"005B";54760.6237266705;"0006";RT 012 RW 002 DUSUN KALIPANDAN;"-";"1, 1, 1";"1";;;;;;;;;1
745;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005004B;"004B";40886.7055961587;"0009";RT 007 RW 003 DUSUN KALIKELAPA;"-";"1";"1";;;;;;;;;1
746;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005007B;"007B";73485.8754463214;"0009";RT 007 RW 003 DUSUN KALIKELAPA;"-";"1, 1";"1";;;;;;;;;1
747;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005006B;"006B";118958.532218016;"0005";RT 011 RW 002 DUSUN KALIPANDAN;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
748;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005011B;"011B";46613.9593017781;"0008";RT 006 RW 003 DUSUN KALIKELAPA;"-";"1, 1";"1";;;;;;;;;1
749;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005010B;"010B";29624.8085445706;"0007";RT 005 RW 003 DUSUN KALIKELAPA;"-";"1, 1, 1";"1";;;;;;;;;1
750;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005012B;"012B";66771.325954136;"0008";RT 006 RW 003 DUSUN KALIKELAPA;"-";"1, 1";"1";;;;;;;;;1
751;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005009B;"009B";75979.5901535805;"0009";RT 007 RW 003 DUSUN KALIKELAPA;"-";"1, 1, 1, 1";"1";;;;;;;;;1
752;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005013B;"013B";31137.7349813203;"0052  ,  0053  ,  0108";"RT 002 RW 011 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 003 RW 011 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 008 RW 011 DUSUN BLOK B";"-";"1, 1, 1,1, 1,1";"1";;;;;;;;;1
753;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005014B;"014B";26055.980920451;"0015  ,  0017";"RT 003 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 005 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1";"1";;;;;;;;;1
754;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005015B;"015B";22630.9893008099;"0014  ,  0018  ,  0016";"RT 002 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 006 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 004 RW 005 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1,1, 1, 1";"1";;;;;;;;;1
755;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005016B;"016B";10307.4837750343;"0007";RT 005 RW 003 DUSUN KALIKELAPA;"-";"1";"1";;;;;;;;;1
756;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005017B;"017B";24243.7774298617;"0007";RT 005 RW 003 DUSUN KALIKELAPA;"-";"1, 1, 1";"1";;;;;;;;;1
757;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005018B;"018B";39016.108655531;"0007";RT 005 RW 003 DUSUN KALIKELAPA;"-";"1, 1";"1";;;;;;;;;1
758;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005020B;"020B";83186.0909432823;"0003";RT 003 RW 001 DUSUN KALIPANDAN;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
759;"32";"15";"031";"004";PUSEURJAYA;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031004";"3215031";"0  ";sp2020;3215031004017B;"017B";3447.45005616917;"0024";RT 008 RW 003 DUSUN KALIJAYA;"-";"1";"1";;;;;;;;;1
760;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005024B;"024B";23498.5835961498;"0072  ,  0073";"RT 001 RW 014 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 002 RW 014 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1";"1";;;;;;;;;1
761;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005023B;"023B";22805.0092423885;"0069  ,  0067  ,  0066";"RT 006 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 004 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 003 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1,1, 1, 1, 1";"1";;;;;;;;;1
762;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005025B;"025B";20281.3447915629;"0083  ,  0082";"RT 005 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 004 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1";"1";;;;;;;;;1
763;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005026B;"026B";11111.4422589224;"0084";RT 006 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5;"-";"1, 1, 1, 1";"1";;;;;;;;;1
764;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005027B;"027B";31522.5952193774;"0080  ,  0081  ,  0079";"RT 002 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 003 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 001 RW 016 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1,1, 1";"1";;;;;;;;;1
765;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005028B;"028B";29821.9783584032;"0057  ,  0054";"RT 007 RW 011 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 004 RW 011 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1, 1, 1,1, 1";"1";;;;;;;;;1
766;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005030B;"030B";36532.1169738024;"0048";RT 001 RW 010 DUSUN BUMI TELUKJAMBE DUSUN 4;"-";"1, 1, 1, 1, 1";"1";;;;;;;;;1
767;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005031B;"031B";17709.5099409252;"0044  ,  0042";"RT 003 RW 009 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 001 RW 009 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1";"1";;;;;;;;;1
768;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005057B;"057B";12232.1574750554;"0046";RT 005 RW 009 DUSUN BUMI TELUKJAMBE DUSUN 5;"-";"5, 5";"5";;;;;;;;;1
769;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005032B;"032B";37642.3858010783;"0074";RT 003 RW 014 DUSUN BUMI TELUKJAMBE DUSUN 5;"-";"1, 1, 1, 2";"1";;;;;;;;;1
770;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005054B;"054B";49834.6938536543;"0076  ,  0077";"RT 001 RW 015 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 002 RW 015 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1";"1";;;;;;;;;1
771;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005033B;"033B";27619.8133479374;"0070  ,  0071  ,  0068";"RT 007 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 008 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 005 RW 013 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1,1, 1, 1,1, 1";"1";;;;;;;;;1
772;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005034B;"034B";31028.053258006;"0111  ,  0110  ,  0109  ,  0096";"RT 006 RW 018 DUSUN BLOK E  ,  RT 005 RW 018 DUSUN BLOK E  ,  RT 004 RW 018 DUSUN BLOK B  ,  RT 005 RW 019 DUSUN BLOK B";"-";"1,1,1, 1,1, 1";"1";;;;;;;;;1
773;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005035B;"035B";22581.5437655598;"0088";RT 001 RW 018 DUSUN BUMI TELUKJAMBE DUSUN 5;"-";"1, 1, 1, 1";"1";;;;;;;;;1
774;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005036B;"036B";34125.4181280675;"0086  ,  0085";"RT 002 RW 017 DUSUN BUMI TELUKJAMBE DUSUN 5  ,  RT 001 RW 017 DUSUN BUMI TELUKJAMBE DUSUN 5";"-";"1, 1, 1, 1,1, 1, 1, 1";"1";;;;;;;;;1
775;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005037B;"037B";29745.6392437039;"0003";RT 003 RW 001 DUSUN KALIPANDAN;"-";"1, 1";"1";;;;;;;;;1
776;"32";"15";"031";"005";SUKALUYU;TELUKJAMBE TIMUR;KARAWANG;JAWA BARAT;"3215031005";"3215031";"0  ";sp2020;3215031005039B;"039B";17150.8372853834;"4001";RUSUNAMI;RUSUNAMI;"4";"4";;;;;;;;;1
