fid;kdprov;kdkab;kdkec;kddesa;nmdesa;nmkec;nmkab;nmprov;iddesa;idkec;sbs;base;idbs;kdbs;luas;kdsls;nmsls;posisi;dom_sls;dominan;tingkat;nm_gedung;kk;bstt;bstt_k;bsbtt;muatan;khusus;count
23;"32";"15";"040";"001";KARANGANYAR;KLARI;KARAWANG;JAWA BARAT;"3215040001";"3215040";"0  ";sp2020;3215040001002P;"002P";241962.384179915;"0028";RT 028 RW 006 DUSUN PARUNGDADALI;"-";"11";"11";;;;;;;;;1
24;"32";"15";"040";"002";CURUG;KLARI;KARAWANG;JAWA BARAT;"3215040002";"3215040";"0  ";sp2020;3215040002013B;"013B";379862.29860579;"0024";RT 024 RW 004 DUSUN JLN BEDENG;"-";"1, 1";"1";;;;;;;;;1
25;"32";"15";"040";"002";CURUG;KLARI;KARAWANG;JAWA BARAT;"3215040002";"3215040";"0  ";sp2020;3215040002017B;"017B";147708.763082273;"0021  ,  0017";"RT 021 RW 003 DUSUN KRAJAN II  ,  RT 017 RW 003 DUSUN KRAJAN II";"-";"1,1";"1";;;;;;;;;1
26;"32";"15";"040";"004";SUMURKONDANG;KLARI;KARAWANG;JAWA BARAT;"3215040004";"3215040";"0  ";sp2020;3215040004012B;"012B";562235.379932109;"0005";RT 005 RW 002 DUSUN BABAKAN I;"-";"1";"1";;;;;;;;;1
27;"32";"15";"040";"004";SUMURKONDANG;KLARI;KARAWANG;JAWA BARAT;"3215040004";"3215040";"0  ";sp2020;3215040004017B;"017B";160929.060008341;"0012";RT 012 RW 004 DUSUN SERANG;"-";"1";"1";;;;;;;;;1
28;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008020B;"020B";92174.8571306551;"0002";RT 002 RW 001 DUSUN RUMAMBE I;"-";"1, 1";"1";;;;;;;;;1
29;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008003B;"003B";301040.123931165;"0029";RT 029 RW 007 DUSUN DUKUH;"-";"1, 1, 1";"1";;;;;;;;;1
30;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008024B;"024B";453346.612156256;"0013";RT 013 RW 004 DUSUN SUKAMAKMUR;"-";"1";"1";;;;;;;;;1
31;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008018B;"018B";876084.374319664;"0004";RT 004 RW 002 DUSUN RUMAMBE II;"-";"1, 1, 1";"1";;;;;;;;;1
32;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008002B;"002B";115576.6634435;"0002";RT 002 RW 001 DUSUN RUMAMBE I;"-";"1, 1";"1";;;;;;;;;1
33;"32";"15";"040";"008";ANGGADITA;KLARI;KARAWANG;JAWA BARAT;"3215040008";"3215040";"0  ";sp2020;3215040008001B;"001B";106114.620996771;"0002";RT 002 RW 001 DUSUN RUMAMBE I;"-";"1";"1";;;;;;;;;1
34;"32";"15";"040";"011";KLARI;KLARI;KARAWANG;JAWA BARAT;"3215040011";"3215040";"0  ";sp2020;3215040011022P;"022P";175296.806193901;"0011";RT 11 RW 03 DUSUN JATIMULYA;"-";"11";"11";;;;;;;;;1
35;"32";"15";"040";"011";KLARI;KLARI;KARAWANG;JAWA BARAT;"3215040011";"3215040";"0  ";sp2020;3215040011036P;"036P";143499.754222132;"0012";RT 12 RW 03 DUSUN JATIMULYA;"-";"11";"11";;;;;;;;;1
36;"32";"15";"040";"012";CIBALONGSARI;KLARI;KARAWANG;JAWA BARAT;"3215040012";"3215040";"0  ";sp2020;3215040012120B;120B;20100.1230381279;"0070  ,  0069";"RT 004 RW 006 DUSUN GUNA PERMAI  ,  RT 003 RW 006 DUSUN GUNA PERMAI";"-";"1,1";"1";;;;;;;;;1
37;"32";"15";"040";"012";CIBALONGSARI;KLARI;KARAWANG;JAWA BARAT;"3215040012";"3215040";"0  ";sp2020;3215040012110B;110B;21114.0242822152;"0068  ,  0067";"RT 002 RW 006 DUSUN GUNA PERMAI  ,  RT 001 RW 006 DUSUN GUNA PERMAI";"-";"1,1";"1";;;;;;;;;1
38;"32";"15";"040";"013";DUREN;KLARI;KARAWANG;JAWA BARAT;"3215040013";"3215040";"0  ";sp2020;3215040013037P;"037P";224224.651384819;"1002";PESAWAHAN;"-";"11";"11";;;;;;;;;1
39;"32";"15";"040";"013";DUREN;KLARI;KARAWANG;JAWA BARAT;"3215040013";"3215040";"0  ";sp2020;3215040013036B;"036B";40544.1981473889;"0027";RT 027 RW 008 DUSUN KOSAMBI 2 TENGAH;"-";"1, 1, 1";"1";;;;;;;;;1
